23,141,23,141,23,141,23,141
27,142,26,143,26,143,27,142
32,143,29,145,29,145,33,143
38,144,31,146,31,146,38,144
43,145,33,147,33,147,43,145
47,146,34,147,34,148,47,146
51,146,35,148,35,148,51,146
54,147,35,147,36,147,55,147
57,148,36,147,36,147,58,148
60,148,36,146,36,146,60,148
62,149,36,145,36,145,62,149
64,150,36,144,36,144,62,149
66,150,36,143,36,143,61,145
67,151,35,142,35,142,61,143
68,151,35,141,35,141,61,141
69,152,35,139,35,139,62,139
70,152,35,138,35,138,63,137
71,153,34,136,34,136,65,136
71,153,34,135,34,135,66,134
72,154,34,133,34,133,67,133
72,154,34,132,34,132,67,131
72,155,35,131,34,130,68,129
68,153,35,129,34,128,68,128
65,147,35,128,34,126,69,127
63,141,36,127,34,125,69,125
64,139,36,126,35,124,69,124
63,137,37,126,35,123,69,124
63,135,38,125,36,123,69,123
63,134,39,125,37,122,69,122
63,134,40,124,38,122,69,122
64,134,42,124,38,122,69,121
64,134,43,124,39,123,68,121
64,134,45,124,40,123,68,121
64,135,46,125,41,123,68,120
64,136,48,126,41,124,68,120
64,137,50,126,42,125,67,120
64,138,52,127,43,126,67,120
64,140,54,129,44,127,67,120
64,142,57,130,45,128,66,120
64,145,59,132,47,130,66,121
64,147,62,134,48,132,66,121
64,149,65,136,50,134,66,122
63,150,67,137,53,136,65,122
62,151,68,139,56,137,64,123
60,151,68,139,59,139,62,124
59,151,69,140,62,140,61,126
58,151,70,141,64,142,59,127
56,151,71,142,67,143,58,129
54,150,71,144,68,144,56,130
53,149,72,145,70,145,54,131
51,148,73,146,71,146,52,132
50,147,74,147,72,147,51,132
48,145,75,147,73,147,49,132
47,144,75,148,74,148,47,132
45,142,76,149,75,149,46,132
44,141,76,150,75,150,45,131
43,139,76,150,75,150,43,130
42,138,76,151,75,151,42,130
41,136,76,151,75,152,41,129
40,134,76,152,75,152,41,128
40,133,76,153,75,153,40,127
39,131,76,153,75,154,40,126
39,130,75,154,74,154,40,125
39,129,75,155,74,155,40,125
39,128,74,155,73,155,40,124
40,127,74,156,73,155,40,123
40,126,73,156,73,156,40,123
41,125,73,157,72,156,41,122
42,125,72,158,72,157,42,122
43,124,72,159,71,157,43,122
44,124,71,159,71,158,44,122
45,124,71,160,70,159,45,122
46,125,70,161,70,159,46,123
48,125,69,161,69,160,48,123
49,126,69,162,69,161,46,123
51,126,68,163,68,162,45,123
53,127,68,163,68,162,44,122
55,129,68,164,67,163,44,122
58,130,67,164,67,164,44,123
60,132,67,165,67,164,44,123
63,134,67,165,66,165,44,123
65,136,66,165,66,165,45,124
68,137,65,165,65,165,46,125
70,139,64,164,63,164,48,125
71,140,62,163,62,163,51,126
73,141,61,162,60,162,53,127
74,143,59,161,59,161,57,129
75,144,57,159,57,159,60,130
76,145,56,158,55,158,62,131
77,146,54,156,54,156,65,132
78,146,52,154,52,154,66,133
78,147,50,152,50,152,68,133
79,148,49,151,49,150,70,134
79,149,47,149,47,149,71,135
79,149,46,147,46,147,72,135
79,150,44,145,44,145,72,136
79,151,43,143,43,143,73,136
79,152,42,141,42,141,74,136
78,152,41,139,41,139,74,136
78,153,41,137,41,137,74,136
77,153,40,135,40,135,74,136
77,154,40,134,40,134,74,136
76,155,40,132,39,132,74,136
76,155,40,131,39,131,73,136
75,156,40,129,40,129,73,136
75,157,40,128,40,128,73,136
74,157,40,127,40,127,72,135
73,158,41,126,41,126,72,135
73,159,42,126,42,126,72,135
72,159,43,125,43,125,71,135
72,160,44,125,44,125,71,135
71,161,45,125,45,125,70,135
70,161,46,125,46,125,70,135
70,162,48,126,48,126,69,135
69,163,48,125,50,126,69,135
69,163,47,125,51,127,68,136
67,163,46,126,53,128,67,136
66,164,46,127,55,129,67,137
66,164,46,129,58,131,67,138
66,165,46,131,60,132,66,140
66,166,47,133,63,134,66,141
65,166,47,135,65,136,66,142
64,165,48,137,67,138,65,144
63,164,49,138,70,139,63,146
61,164,50,140,71,141,62,146
60,162,50,141,73,142,60,147
58,161,50,143,74,143,59,147
57,160,51,144,75,144,57,147
55,158,51,145,76,145,55,146
53,156,51,146,77,146,54,146
52,154,51,147,78,147,52,145
50,152,52,148,78,147,50,144
48,151,52,148,79,148,49,143
47,149,52,149,79,149,47,142
46,147,53,150,79,150,46,140
44,145,53,151,79,150,45,139
43,143,53,151,77,149,43,138
42,141,54,152,76,148,42,136
41,139,55,152,76,148,42,135
41,137,57,153,75,147,41,133
40,135,58,154,75,147,40,132
40,134,59,154,75,147,40,131
40,132,60,155,75,147,40,129
40,131,61,156,75,146,40,128
40,129,62,156,74,146,40,127
40,128,63,157,74,146,40,126
40,127,63,157,73,145,40,125
41,126,64,158,73,145,41,125
42,126,64,159,72,145,42,124
43,125,64,159,72,145,43,124
44,125,64,160,71,144,44,124
45,125,64,161,71,144,45,124
46,125,64,161,70,144,46,124
48,126,64,162,70,144,48,125
50,126,64,163,69,144,50,125
51,127,64,163,69,144,51,126
53,128,64,164,68,144,53,127
55,129,64,164,68,144,55,129
55,129,64,165,67,144,58,130
54,129,64,166,67,144,60,132
54,130,64,166,66,145,63,134
54,131,63,166,66,146,65,136
54,133,63,166,65,147,67,137
55,135,62,165,64,148,69,139
55,137,60,164,62,148,71,140
55,139,59,163,61,149,73,142
56,140,57,161,59,149,74,143
56,142,56,160,57,148,75,144
56,143,54,158,56,148,76,145
57,144,53,156,54,147,77,146
57,145,51,155,52,146,78,146
57,146,49,153,50,145,78,147
57,147,48,151,49,144,79,148
58,148,47,149,47,142,79,149
58,149,45,147,46,141,79,149
58,150,44,145,45,140,79,150
58,150,43,143,43,138,79,151
59,151,42,141,42,137,79,151
59,152,41,139,42,135,78,152
60,153,40,137,41,134,78,153
60,153,40,135,40,132,78,153
61,154,40,134,40,131,77,154
62,155,39,132,40,130,77,155
62,155,39,131,40,128,76,155
63,156,40,129,40,127,75,156
63,157,40,128,40,126,75,157
64,157,40,127,40,126,74,157
64,158,41,126,41,125,73,158
65,159,42,126,42,124,72,158
65,159,43,125,43,124,70,156
65,160,44,125,44,124,69,155
65,160,45,125,45,124,69,155
65,161,46,125,46,124,68,154
65,162,48,126,48,125,68,154
65,162,50,126,50,125,67,153
65,163,51,127,51,126,67,153
65,163,53,128,53,127,67,153
65,164,55,129,55,129,66,153
64,164,58,131,58,130,66,152
64,165,60,132,60,132,66,152
64,165,63,134,60,132,66,152
64,165,65,136,60,132,65,153
63,165,67,138,61,132,64,154
62,164,70,139,63,133,63,154
61,163,71,141,65,133,62,154
59,162,73,142,67,134,60,154
58,161,74,143,69,135,59,153
56,159,75,144,71,135,57,153
54,158,76,145,72,136,55,152
53,156,77,146,74,136,53,151
51,154,78,147,75,136,52,149
50,153,78,147,75,137,50,148
48,151,79,148,76,137,49,146
47,149,79,149,77,137,47,145
45,147,79,150,77,136,46,143
44,145,79,150,77,136,44,142
43,143,79,151,77,136,43,140
42,141,79,152,77,136,42,138
41,139,78,152,77,136,41,137
40,137,77,152,77,135,41,135
40,135,75,151,76,135,40,133
40,134,74,150,76,135,40,132
39,132,74,151,76,136,40,131
39,131,74,152,75,136,39,129
40,130,74,153,75,137,40,128
40,128,73,153,74,137,40,127
40,127,73,154,73,138,40,126
41,127,72,155,73,138,41,126
42,126,72,156,72,139,42,125
43,126,71,157,72,139,43,125
44,125,71,158,71,140,44,124
45,125,70,159,71,141,45,125
46,125,70,160,70,141,46,125
48,126,69,160,70,142,48,125
49,126,69,161,69,143,50,126
51,127,68,162,69,144,51,127
53,128,68,163,68,145,53,128
55,129,67,163,68,145,55,129
58,131,67,164,67,146,58,130
60,132,66,165,67,148,57,131
63,134,66,165,67,149,56,131
65,136,65,165,66,151,56,131
68,138,64,165,65,152,56,131
70,139,63,164,64,152,57,132
71,140,62,163,62,153,59,133
73,142,60,162,61,152,61,134
74,143,59,161,59,152,63,135
75,144,57,159,57,151,65,136
76,145,55,158,56,151,67,136
77,146,53,156,54,150,69,137
78,147,52,154,52,148,71,138
78,147,50,152,50,147,72,139
79,148,49,151,49,146,73,139
79,149,47,149,47,144,74,140
79,150,46,147,46,143,74,140
79,150,44,145,44,141,75,140
79,151,43,143,43,139,75,140
79,152,42,141,42,138,75,140
78,152,41,139,41,136,76,141
78,153,41,137,41,135,75,141
77,153,40,135,40,133,75,141
77,154,40,134,40,132,75,141
76,155,39,132,40,130,75,141
76,155,39,131,40,129,74,141
75,156,40,129,40,128,74,141
74,157,40,128,40,127,74,141
73,156,40,127,40,126,73,141
72,156,41,127,41,125,72,141
71,157,42,126,42,125,72,142
71,158,43,126,43,125,71,143
70,158,44,125,44,124,71,143
70,159,45,125,45,124,70,144
69,160,46,125,46,125,70,145
69,161,48,126,48,125,69,146
68,162,50,126,50,126,69,147
68,162,51,127,51,126,68,148
67,163,53,128,53,128,68,149
67,164,55,129,55,129,68,150
66,164,58,131,58,130,67,151
66,165,60,132,60,132,67,152
65,166,63,134,63,134,67,153
65,166,64,136,65,136,66,154
64,165,63,137,68,137,65,155
63,165,63,139,70,139,64,155
61,164,63,140,71,140,62,155
60,163,62,141,73,142,61,155
58,161,62,143,74,143,59,154
57,160,61,144,75,144,57,153
55,158,61,145,76,145,55,152
53,156,60,146,77,146,54,151
52,154,60,147,78,147,52,150
50,153,59,148,78,147,50,148
48,151,59,148,79,148,49,147
47,149,58,149,79,149,47,145
46,147,58,150,79,149,46,144
44,145,58,151,79,150,45,142
43,143,58,151,77,149,43,140
42,141,58,152,76,149,42,139
41,139,58,152,75,149,42,137
41,137,59,153,75,149,41,135
40,135,59,154,75,149,40,134
40,134,60,154,75,149,40,132
40,132,61,155,75,150,40,131
40,131,61,156,74,150,40,129
40,129,62,156,74,150,40,128
40,128,62,157,74,150,40,127
40,127,63,158,73,151,41,126
41,126,63,158,73,151,41,126
42,126,64,159,72,151,42,125
43,125,64,160,72,151,43,125
44,125,64,160,71,151,44,125
45,125,64,161,71,151,45,125
46,125,64,162,70,151,46,125
48,126,64,162,70,152,48,125
50,126,64,163,69,152,50,126
51,127,64,163,69,152,51,127
53,128,64,164,68,153,53,128
55,129,64,165,68,153,55,129
58,131,64,165,67,154,58,130
60,132,63,166,67,154,60,132
63,134,63,166,67,155,63,134
62,135,63,166,66,156,65,136
62,136,62,166,65,156,68,138
61,137,61,165,64,156,70,139
61,139,60,164,62,156,71,140
61,140,59,163,61,156,73,142
61,141,57,161,59,155,74,143
60,143,56,160,57,154,75,144
60,144,54,158,56,153,76,145
60,145,52,157,54,152,77,146
60,146,51,155,52,150,78,147
59,147,49,153,50,149,78,147
59,148,48,151,49,147,79,148
59,149,46,149,47,146,79,149
59,149,45,147,46,144,79,149
